,단맛(설탕),단맛(과일),상큼(새콤 달콤),쓴맛(과일),쓴맛(술),맛,도전의지,도수,도수_val,양,꺼리는 것,기타,Unnamed: 12,탄산,식감,기주,멘트,Unnamed: 17
갓마더,1,,,,1.0,"단맛, 독한 맛",,30,5.0,2,아몬드,보드카와 아마레또(아몬드 향 술)를 섞은 술입니다. 향이 강하지 않아 비슷한 술인 갓파더보다 부드러운 맛을 냅니다.,부드러움,없음,물,보드카,갓파더 몰래 시켜야함,
갓파더,1,,,,1.0,"단맛, 독한 맛","위스키, 도전",39,6.0,2,아몬드,위스키와 아마레또(아몬드 향 술)를 섞은 술입니다. 위스키의 진한 향과 아몬드의 향이 섞여 강한 맛을 냅니다.,강함,없음,물,위스키,갓마더 몰래 시켜야함,
그래스호퍼,,1,1.0,,,단맛,,15,3.0,3,"민트, 초코","페퍼민트와 카카오, 크림이 들어가 부드러운 민트초콜렛의 맛이 납니다.",부드러움,없음,크리미,리큐르,민 초 좋 아,
김렛,,,1.0,,1.0,새콤한 맛,진,30,5.0,3,,"진과 달달한 라임주스, 혹은 무가당 라임주스에 설탕시럽을 넣은 음료로, 새콤달콤한 맛이 납니다.",부드러움,없음,물,진,,
깔루아 밀크,1,,,,,커피의 단맛,,8,2.0,2,"커피, 우유",커피를 베이스로 한 깔루와에 우유를 탄 칵테일입니다. 달콤한 커피우유 맛이 납니다.,부드러움,없음,우유,럼,깔밀 한 잔 주세요~,
네그로니,,,,1.0,1.0,쌉쌀한 맛(달달하지 않음!),"진, 도전",21,4.0,2,,"진, 스위트 베르뭇(달콤한 와인느낌의 술), 캄파리가 들어가 전체적으로 씁쓸하고 향이 강한 술입니다. 캄파리가 호불호가 강한 술이라 선택에 유의하세요!",강함,없음,물,진,개발자 인생보다 쓴 술,
뉴욕,1,,1.0,,,상큼한 맛 (근데 조금 쓴맛이 남),위스키,28,5.0,2,,레몬껍질을 넣는다,,없음,물,위스키,JAY Z - Empire State Of Mind,https://youtu.be/Eww7ahPd8r4
다이키리,1,,1.0,,,신맛과 단맛,,30,5.0,2,,헤밍웨이가 즐겨마심,,없음,물,럼,헤밍웨이와 한잔,
데킬라 선라이즈,1,,1.0,,,단맛,데킬라,12,3.0,3,,테킬라의 고향인 멕시코의 '일출'을 형상화해서 만든 롱 드링크 칵테일,,없음,물,데킬라,오...눈부셔,
데킬라 선셋,1,1,1.0,,,약간 신맛,데킬라,15,3.0,3,,테킬라 선 라이즈에서 오렌지 주스를 레몬 주스로 바꾼 칵테일,,없음,물,데킬라,선라이즈 동생,
데킬라 슬래머,1,,,,1.0,"단맛, 탄산의 청량함, ",데킬라,20,4.0,1,탄산,스트레이트 잔에 테킬라를 반 정도 채우고 탄산이 들어간 자몽 음료나 소다수로 잔을 채운다. 그리고 냅킨이나 종이로 된 잔 받침으로 잔을 덮은 후 손바닥으로 움켜쥐듯 잔을 쥐고 리드미컬하게 바닥에 내려치면 탄산이 잔 바닥으로 쏠린 후 희뿌연 안개나 바닷가 파도의 물보라처럼 잔 위로 휘돌아 올라온다. 이 탄산이 모두 빠져나가기 전에 입에 털어 넣듯 마시는 것이 바로 슬래머,,있음,물,데킬라,,https://youtu.be/6-Rw8wvGoEg
러스티 네일,1,,,,1.0,"단맛, 독한 맛","위스키, 도전",40,6.0,3,,,,없음,물,위스키 (스카치 위스키),,
롱 아일랜드 아이스 티,1,,1.0,,,단맛,,35,5.0,4,탄산,,,있음,물,"보드카, 데킬라, 럼, 진",칵테일 계의 소맥,
마르가리타,1,,1.0,,1.0,새콤한 맛,데킬라,31,5.0,2,,소금 리밍,,없음,물,데킬라,#인스타 각,https://soundcloud.com/8balltown/margaritaseoul
마티니,,,,,1.0,진의 맛,"진, 도전",34,5.0,2,,"진에 베르무트를 섞은 후, 올리브로 장식한 무색 투명한 칵테일 ",,없음,물,진,마티니 마셨니 엌ㅋㅋㅋㅋㅋㅋ,
맨해튼,1,,,,1.0,쓴맛,위스키,33,5.0,2,,위스키 + 스윗베르무트 + 체리 + 비터,,없음,물,위스키,맨하탄 맨해튼 맨핻은 맨햩은,
모스코 뮬,1,,1.0,,,상큼한 맛,,16,3.0,3,"생강, 탄산",구리로 만든 머그잔으로 마심 생강맛이 남,,있음,물,보드카,뮬은 노새입니다 모스코는 모스코죠,
모히토,1,,1.0,,,상큼함 / 민트맛,,18,3.0,3,민트,민트 민트 민트 민트,,없음,물,럼,모히토에서 몰디브 한잔?,
미도리 샤워,,1,1.0,,,달콤함 / 멜론맛,,21,4.0,2,,일본에서 만들어짐 / 일본의 산토리가 허니듀 멜론을 이용해 만든 술,,있음 (없을수도),물,미도리 리큐르,샤워 ㅗㅜㅑ,
미모사,,,1.0,,,달콤한 맛 ,"도전, 와인",8,2.0,2,탄산,와인 + 오렌지주스 1:1로 섞음,,있음,물,샴페인,,
베일리스 밀크,1,,,,,우유 + 크림 + 초콜릿 맛,,7,2.0,2,"우유, 초코","우유, 초코",,없음,우유,베일리스(위스키),고급진 커피우유,
보드카 마티니,,,,,1.0,쓴맛이겠지..? ,도전,34,5.0,2,,"드라이 마티니의 베이스를 드라이 진 대신에 보드카를 사용한 칵테일. 캥거루(Kangaroo), 보드카티니(Vodkatini)라고도 한다.",,없음,물,보드카,,
브랜디 알렉산더,1,,,,,달달한 맛과 크림 냄새,도전,20,4.0,2,,브랜디 베이스의 칵테일로 1901년 영국 황태자 에드워드 7세와 덴마크 국왕의 딸 알렉산더의 결혼을 기념해 만들어졌다. 크림들어감,,없음,크리미,브랜디,,
블랙러시안,1,,,,1.0,달콤,,32,5.0,2,커피,커피향 보드카,,없음,물,보드카,,
